189020926;51.2960771,6.8620426 51.2960667,6.8621464 51.2961192,6.8621598 51.2961217,6.8621340 51.2961599,6.8621438 51.2961516,6.8622265 51.2961919,6.8622368 51.2961971,6.8621848 51.2962191,6.8621904 51.2963243,6.8622210 51.2963356,6.8621089 51.2960771,6.8620426
217519743;51.3095899,6.8321492 51.3097597,6.8321613 51.3097687,6.8318409 51.3096456,6.8318320 51.3096505,6.8316546 51.3097445,6.8316614 51.3097596,6.8311202 51.3096210,6.8311103 51.3095899,6.8321492
221098942;51.3364523,6.8486406 51.3366105,6.8491419 51.3363963,6.8493133 51.3362385,6.8488119 51.3364523,6.8486406
242877753;51.3419107,6.8917864 51.3418972,6.8917817 51.3418508,6.8917613 51.3418592,6.8917099 51.3418224,6.8916945 51.3418137,6.8917474 51.3417938,6.8919236 51.3417141,6.8918901 51.3416969,6.8919944 51.3416519,6.8921989 51.3417412,6.8922364 51.3417180,6.8923770 51.3416780,6.8924786 51.3417039,6.8924894 51.3417873,6.8925340 51.3419107,6.8917864
255493112;51.3437969,6.8366846 51.3434169,6.8372064 51.3435454,6.8374463 51.3439254,6.8369244 51.3437969,6.8366846
268108369;51.2907971,6.8357681 51.2907996,6.8357554 51.2908370,6.8357744 51.2908031,6.8359451 51.2907657,6.8359261 51.2907971,6.8357681
279194176;51.3407826,6.8690076 51.3407611,6.8689079 51.3405057,6.8690549 51.3405281,6.8691538 51.3407246,6.8700180 51.3409778,6.8698719 51.3407826,6.8690076
280076345;51.3335435,6.9038385 51.3335948,6.9038169 51.3335207,6.9036825 51.3334861,6.9037311 51.3334557,6.9037120 51.3333256,6.9038961 51.3333891,6.9040567 51.3334314,6.9039994 51.3335435,6.9038385
281402455;51.3434626,6.8939012 51.3433709,6.8939768 51.3434325,6.8941684 51.3435242,6.8940928 51.3434626,6.8939012
284229743;51.2947379,6.8630240 51.2947440,6.8629854 51.2945480,6.8628735 51.2945213,6.8629918 51.2947204,6.8631041 51.2947379,6.8630240
288960429;51.2938193,6.8447203 51.2937599,6.8447614 51.2937771,6.8448245 51.2937598,6.8448366 51.2937182,6.8448422 51.2937427,6.8449322 51.2938557,6.8448538 51.2938193,6.8447203
305843272;51.3049891,6.8343469 51.3049685,6.8345224 51.3050791,6.8345556 51.3050602,6.8347168 51.3049492,6.8346835 51.3049408,6.8347546 51.3044537,6.8346083 51.3044630,6.8345290 51.3043608,6.8344983 51.3043886,6.8341665 51.3049891,6.8343469
306854621;51.3365497,6.8483634 51.3363580,6.8485182 51.3363155,6.8483832 51.3365072,6.8482284 51.3365497,6.8483634
306854622;51.3356518,6.8469483 51.3355702,6.8469812 51.3355459,6.8468271 51.3356276,6.8467942 51.3356518,6.8469483
306854636;51.3368202,6.8484781 51.3367710,6.8483554 51.3368825,6.8482420 51.3369950,6.8481277 51.3370442,6.8482487 51.3368202,6.8484781
306854637;51.3368825,6.8482420 51.3367710,6.8483554 51.3366872,6.8481475 51.3367996,6.8480335 51.3368825,6.8482420
306854638;51.3368113,6.8477842 51.3366268,6.8479734 51.3365561,6.8477968 51.3367406,6.8476076 51.3368113,6.8477842
306854639;51.3367423,6.8475017 51.3365211,6.8477268 51.3364600,6.8475731 51.3366813,6.8473480 51.3367423,6.8475017
306854651;51.3365072,6.8482284 51.3363155,6.8483832 51.3363045,6.8483921 51.3362633,6.8482615 51.3362785,6.8481888 51.3362983,6.8481980 51.3363594,6.8481495 51.3363788,6.8481663 51.3364584,6.8481008 51.3365072,6.8482284
307735997;51.3302455,6.8405542 51.3300994,6.8403900 51.3302416,6.8400661 51.3303877,6.8402303 51.3302455,6.8405542
307735999;51.3303049,6.8410503 51.3303632,6.8411575 51.3305378,6.8409144 51.3304349,6.8407252 51.3303066,6.8409039 51.3303512,6.8409859 51.3303049,6.8410503
725805655;51.3053193,6.8350662 51.3053540,6.8347797 51.3059503,6.8349647 51.3059156,6.8352512 51.3057229,6.8351914 51.3053193,6.8350662
1001081374;51.3453187,6.8369293 51.3452544,6.8367541 51.3454282,6.8365905 51.3454924,6.8367652 51.3457061,6.8365640 51.3460488,6.8374971 51.3453813,6.8381254 51.3450380,6.8371929 51.3453187,6.8369293
1272657887;51.3361799,6.8478486 51.3361936,6.8478419 51.3361984,6.8478654 51.3362457,6.8478362 51.3362359,6.8477973 51.3363022,6.8477587 51.3363197,6.8478341 51.3363361,6.8478251 51.3363551,6.8479021 51.3363715,6.8478925 51.3363921,6.8479805 51.3362361,6.8480713 51.3361945,6.8479067 51.3361799,6.8478486
1272657888;51.3360247,6.8479187 51.3361162,6.8478664 51.3361256,6.8479083 51.3361728,6.8478803 51.3361668,6.8478573 51.3361799,6.8478486 51.3361945,6.8479067 51.3362361,6.8480713 51.3360801,6.8481620 51.3360431,6.8479944 51.3360247,6.8479187
